Feature,Importance
Log ADR,0.40719084748488094
Listing Age (Days),0.22086768867096235
Host Listing Count,0.0750903934759691
City,0.07226427888097742
Cancellation Policy,0.05185359959287865
Property Type,0.03486926401929105
Max Guests,0.0316935554084964
Airbnb Superhost,0.029560767704569155
Bedrooms,0.014007083900616482
Has Parking,0.012756139528842832
Bathrooms,0.012327531185306289
Has Washer,0.010284767854296202
Listing Type,0.008023700457946132
Has Air Conditioning,0.0073623990541622705
Has Pool,0.00593239646663416
Has Kitchen,0.004696942587533658
Has Wifi,0.001218643726636986
